Page #,Question #,Question Text,Answer
16,11,We know who wrote Little Women but who wrote Little Men,Lousia May Alcott
16,14,Who was Olive Oyls boyfriend - before Popeye,Ham Gravy
16,17,Who was the first actor to appear on cover of Time magazine,Charlie Chaplin
16,21,What nationality was Oddjob,Korean
16,24,Which film star used to be a circus acrobat,Burt Lancaster
16,31,What was the name of Dr Dolittle’s Parrot,Polynesia
16,32,What was the name of William Tells son (the apple head boy),Walter
16,45,Sam Barraclough owned which film star,Lassie
16,49,Who wrote A Town Like Alice,Nevil Shute
17,54,Who tells the story in The Arabian Nights,Sheherazade
17,55,Alfred Jingle appears in which Dickens novel,The Pickwick Papers
17,56,Vaselina and Brillantino were alternate names which film,Grease
17,57,Chaplin ate a boot in the Gold Rush - what was it made of,Liquorice
17,64,Who is Ivanhoe's wife,Rowena
17,71,What was the name of Norse God Thor's hammer,Mjolnir
17,73,What was Walt Disney's first cartoon character,Oswald the Rabbit
17,75,Who wrote Beau Geste,P C Wren
17,77,Who is Aladdin's father,Mustapha the tailor
17,87,What was the name of Roses monkey in Friends,Marcel
17,89,Alfred Hitchcock admitted to being terrified of what,Policeman
17,90,What was the name of Sancho Panza's donkey,Dapple
17,97,Hugh Lofting created which famous character,Doctor Dolittle
18,29,Who founded the Greek theatre,Thespis
18,30,Maria Magdelana Von Losch Beyyer know as who,Marlene Dietrich
19,51,Which writer coined the word Cyberspace in 1984,William Gibson – Neuromancer
19,53,What film won the 1943 Oscar as best film,Casablanca
19,56,Who wrote The Picture of Dorian Grey in 1891,Oscar Wilde
19,63,In 1961 which Henry Mancini record won Grammy record of year,Moon River
19,94,Who wrote the novel Tom Jones in 1749,Henry Fielding
20,7,Who did James Bond marry - character - (both names),Theresa Draco
20,15,What is Admiral Sir Miles Messervy usually known as,M (Bond films)
20,18,Mr Chips said goodbye from Brookfield school - What subject,Latin
20,20,Which author created The Saint (both names),Leslie Charteris
20,28,Who directed the Halloween series of films,John Carpenter
20,37,What book was made into the first feature length British cartoon,Animal Farm in 1954
20,42,Who played Pink in the movie The Wall,Bob Geldorf
20,45,Hey Big Spender comes from what musical,Sweet Charity
20,46,Jamie Farr played what role in MASH,Corporal Clinger
21,64,Peter Falk plays Lt Colombo but who was first offered role,Bing Crosby
21,65,What type of birds (Hugin + Munin) sit on the shoulders of Odin,Ravens
21,75,William Tayton was the first man to do what,Appear on TV – at Bairds demo
21,76,Clemintina Campbell famous as who,Cleo Lane
21,81,What pop group took their name from a Herman Hess novel,Steppenwolff
21,86,For what would an Edgar be awarded or won,Mystery Writing
21,93,Arthur Jefferson better known as who,Stan Laurel
22,2,In what village do Tom Sawer and Huckleberry Finn live,St Petersburg
22,3,What Opera's story is about a female cigar factory worker,Carmen
22,19,Nessus killed Hercules - What was Nessus,Centaur
22,29,Which SF author invented the idea of the com Satellite,Arthur C Clark
22,31,What was Hebe the goddess of,Youth
22,38,What book featured Topsy who growed,Uncle Toms Cabin –H B Stowe
22,48,Randy Newman said short people don’t have what,Reason to Live
22,49,To which gentleman's club did Phineas Fogg belong,The Reform
23,55,Oliver was fed gruel - its made from water and what,Oatmeal
23,57,Bunyon wrote Pilgrims Progress - where,Bedford Jail
23,58,Who did Mork call to each week on Ork,Orsen
23,63,In fable who pulled the thorn from the lions paw - not eaten,Androcles
23,67,Earl D Biggers created which oriental detective (both names),Charlie Chan
23,68,Whose backing group was The Coconuts,King Creole
23,72,What is the name of Moses and Aaron's sister,Miriam
23,76,Which actor wrote the book The Outlaw Trail,Robert Redford
23,77,What was pirate Captain Flint's ship called,Walrus
23,81,Name Captain Nemo's pet seal,Esmeralda
23,87,You'll Never Walk Alone came from which 1945 musical show,Carousel
23,95,Marilyn Munroe was the model for which Disney Character,Tinker Bell
23,100,Who was La Purcelle of Voltair's poem,Joan of Arc
24,1,Name the actor who played Ben Casey (both Names),Vince Edwards
24,2,"What links Elvis Presley, Bruce Willis, Richard Gere",Married in Las Vegas
24,14,In what film was line A mans gotta do what a mans gotta do,Alan Ladd Shane
24,15,Which famous whore said - God is love but get it in writing,Gypsy Rose Lee
24,18,Who wrote the music for the film ET (both names),John Denver
24,21,In Hamlet who is Ophelia's father,Polonius
24,25,If you were in Lou Grants office what city are you in,Los Angeles
24,26,Who wrote Private Lives - 1930 - Blyth Spirit 1941 (both names),Noel Coward
24,28,In what Hitchcock film did Shirley MacLaine debut in 1956,"The trouble with
Harry"
24,32,What is detective Hercules Poirot's brothers name,Achille
24,37,Grace Metalious wrote which famous novel (and TV show),Peyton Place
24,38,Who said Old age isn’t so bad - considering the alternative,Maurice Chevalier
24,40,What film was a California cinema showing when it went on fire,The Towering Inferno
24,46,In what magazine does Alfred E Newman appear,MAD
24,50,Hugh O'Brian played the lead in what Old Western series,Wyatt Earp
25,53,What is Radar from MASH home town,Ottumwa - Iowa
25,54,In Macbeth what witch speaks first,The first witch
25,58,In The Marriage of Figaro - who did Figaro marry,Sussanah
25,61,Who steals the Pink Panther in the original film,The Phantom
25,66,In 1986 Graceland was the Grammy album of the year – who’s,Paul Simon
25,67,Bob Cummings played which character (both names),Maxwell Smart
25,70,What is Lolita's surname in Vladimere Nabokovs novel,Haze
25,82,In Milton's Paradise Lost what was the lowest point of Hell,Pandemonium (Hells capitol)
25,83,Pat Reid wrote which book - filmed and TV often,The Colditz Story
25,86,Who was captured and kept in a cage by Stromboli,Pinocchio
25,89,Name the Hotel in Arthur Haley's novel / film of same name,St Gregory
25,91,What was the Grammy album of the year in 1967 (Full name),Beatles Sergeant Peppers
25,92,McLean Stevenson played which character in MASH,Colonel Blake
25,99,Who wrote the music to the film The Odessa File,Andrew Lloyd Webber
25,100,Which Dickens novel features Waxford Squears,Nicholas Nickleby
26,17,Wo Fat was the enemy of which TV detective,Steve MacGarett
26,18,Who entered a contest to find his own look-alike and came 3rd,Charlie Chaplin
26,24,Which actress was jailed in 1982 for tax evasion,Sophia Loren
26,29,Felix Salten wrote which Disney cartoon,Bambi
26,33,Betty Joan Perske is better known as who,Lauren Bacall
26,37,Pat Sullivan created which cartoon character,Felix the Cat
26,41,What was the final episode of MASH called,Goodbye Farewell and Amen
26,42,Joe Yule jr born 1920 became famous as who,Mickey Rooney
26,44,Albert Finney turned down which role - Peter O Tool - Oscar,Laurence of Arabia
27,61,"Whose last words were - ""That was the best soda I ever tasted""",Lou Costello
27,64,Vincent Furnier is better known as who,Alice Cooper
27,66,Terrance Nelhams became better knows as who,Adam Faith
27,69,In which cop show did Petrie and Isbecki appear,Cagney and Lacey
27,77,What is Sean Connery's real first name,Thomas
27,79,Who said - Toe err is human - But it feels divine,Mae West
27,81,Declan McManus became famous as who,Elvis Costello
27,83,"Who said ""I have no problems with drugs - only policemen""",Keith Richard
27,87,Which sailor dreamed of Toasted Cheese in Treasure Island,Ben Gunn
27,88,Who played the girl on the motorcycle in a film of same name,Marianne Faithful
27,99,Reginald Carey became famous as who,Rex Harrison
28,11,What better name is Mary Westmacott better known,Agatha Christie
28,33,Whose first box office film was called Risky Business,Tom Cruise
28,37,In which G&S operetta is eating a sausage roll a secret sign,The Grand Duke
28,39,What was the name of Ali Babas female slave,Morgiana
28,40,In which novel does the character Quebec Bagnet appear,Bleak House
28,44,Who voices the female hyena in the lion king,Whoopee Goldberg
28,45,Anthony McMillan became famous as who,Robbie Coltrane
28,46,Roy Thines played David Vincent in which TV series,The Invaders
28,49,Whose music was on the soundtrack of When Harry met Sally,Harry Connick Jr
29,63,Which children's character was created by Mary Tourtel,Rupert the Bear
29,73,In what movie did Sinatra sing My Kind of Town,Robin and the 7 Hoods
29,78,Who wrote and starred in the 1922 version of Robin Hood,Douglas Fairbanks
29,81,Cheers exterior shots featured a real bar - what's it name,Bull & Finch
29,84,Who was given an honorary Oscar in 1985 after 50 years acting,James Stuart
29,89,What was the name of the Jester in As You Like It,Touchstone
29,99,Who won an Oscar for the soundtrack to Chariots of Fire,Vangelis
30,1,"Dorethy Parker said ""Scratch an actor and you will find"" what",An Actress
30,9,How did camerawoman Lee Lyon die while working,Charged by Elephant
30,13,Who directed Sharky's Machine,Burt Reynolds
30,28,Who directed Four Weddings and a Funeral,Mike Newell
30,34,Who produced the Tom and Jerry cartoons until 1956,Fred Quimby
30,40,Reginald Truscott-Jones became famous as who,Ray Miland
30,47,Short actors stand on what wooden object - to appear bigger,Pancake
31,51,George Simenon created Maigret - what nationality was he,Belgian
31,57,In what film did Bruce Willis play a time travelling criminal,Twelve Monkeys
31,60,What was Colombo's dog called,Fang - Basset Hound
31,68,Lucille Le Sueur became famous as who,Joan Crawford
32,11,What 18th century German soldier told very tall tales of himself,Baron Munchhausen
32,13,Thomas Keneally wrote which book (Oscar winning film),Schindler's Ark
32,29,A beast of prey sometimes called a glutton - what is it,Wolverine
32,41,Joel Chandler Harris wrote which series of stories,Uncle Remus
32,43,In film making what does a Blimp do,Covers camera – reduce noise
33,51,Who starred in the film Sixth Sense,Bruce Willis
33,68,Mapother IV is the real surname of what film star,Tom Cruise
33,70,Mendavoy and Martinez are characters in which TV show,NYPD Blue
33,82,Gene Hackman sheriff Big Whiskey - got Oscar - What film,Unforgiven
33,90,Who was the leader of the wolf pack in The Jungle Book,Akala
33,92,Nobody Does it Better was sung in which Bond film,The Spy Who Loved Me
34,27,What was the name of the ship that brought Dracula to England?,Demeter
34,29,PG Woodhouse books Bertie Wooster used what London Club?,Drones
34,39,The Thunderbirds boys were named after what theme?,Apollo Astronauts
35,57,The Boys from Syracuse is based on what Shakespeare play,The comedy of errors
35,70,Name the author who created Hannibal Lecter,Thomas Harris
35,71,Dodie Smith wrote what book (later filmed by Disney),101 Dalmatians
35,80,How to Handle a Woman came from which stage musical,Camelot
35,81,James Drury starred in which TV western series,The Virginian
35,90,What did The Musician Union ban on TV in 1966,Artists miming to records
35,92,Who wrote the novel Love Story (Both Names),Erich Segal
36,1,What kind of creature was Sam on the Muppet Show,Eagle
36,10,Which musical did the song Send in the Clowns come from,A Little Night Music
36,12,What was Clint Eastwood's first film as a director,Play Misty for Me
36,17,Who wrote the play Amadeus,Peter Shaffer
36,22,What is Kensington Gore,Actors fake blood
36,23,Margarita Carmen Casino became famous as who,Rita Heyworth
36,24,What job does the Gaffer do in the film industry,Chief Electrician
36,25,What was the name of Dagwood Bumstead and Blondies dog,Daisy
36,26,What short sighted cartoon character had a nephew - Waldo,Mr Magoo
36,27,What Shakespeare play was the basis of The Forbidden Planet,The Tempest
36,28,Frederick Austerlitz became famous as who,Fred Astair
36,49,Taidje Khan became famous under which name,Yul Brynner
37,52,Joe Yule became famous as who,Mickey Rooney
37,54,Bob Clampett created which character in 1938,Bugs Bunny
37,55,Who wrote the children's classic Ann of Green Gables,L M Montgomery
37,58,The Yellow Kid by Richard Felton Outcault in 1896 first what,Comic Strip – New York World
37,63,Which author wrote screenplay Bonds You Only Live Twice,Roald Dahl
37,67,The song I Talk to the Trees comes from what musical,Paint Your Wagon
37,76,What hotel hosted the first Oscar ceremony,Roosevelt Hotel
37,81,What X rated movie won an Oscar,Midnight Cowboy
37,88,In what city was Audry Hepburn born,Brussels
37,90,What word could Ernie Bilko not say without stuttering,Million
37,92,Who did Valerie Solernis shoot on Jun 3rd 1968 in New York,Andy Worhole
37,93,"Shakespeare character says ""Blow winds and crack your cheeks""",King Lear
37,94,In what Hitchcock film did the heroine find shrunken head in bed,Under Capricorn
37,99,Who wrote the satire Candide published in 1759,Voltaire
37,100,Whose ghost appears in Shakespeare's Julius Caesar,Caesar's Ghost
38,1,In which play and film does Jean Valjean appear,Le Miserables
38,16,Who won an Oscar posthumously,Peter Finch – for
38,17,Which actor has been portrayed most on screen by other actors,Charlie Chaplain
38,20,Who won the best actress Oscar 1959 Room at the Top,Simone Signoret
38,37,James H Pierce was the last silent film actor to play who,Tarzan
38,40,What play is set in Venice and Cyprus,Othello - Shakespeare
39,53,"Who said ""sex appeal 50% what you got 50% they think you got""",Sophia Loren
39,56,What TV did 44 million USA watch while 27m Eisenhower sworn in,I Love Lucy
39,63,1936 film started with world war and ended with space flight,Things to Come HG Wells
39,68,"What actress said ""I dress for women - Undress for men""",Angie Dickinson
39,86,What play has line - Shall there be no more cakes and ale,Twelfth Night
39,100,Who starred as Daisy in The Great Gatsby,Mia Farrow
40,2,Who wrote the music for Showboat,Jerome Kern
40,12,Packy Ease an amateur boxer - what name become famous,Bob Hope
40,15,Charles Conrad took a cassette to the moon on Apollo 11 who,Jerry Lee Lewis
40,16,First feature film US TV Heart of New York what was subject,Washing machine inventors
40,25,"Who said ""sex older women best they think its their last time""",Ian Fleming
40,26,Ping Pong and Pang are characters in which opera,Turendot - by Puccini
40,28,Harold J Smith a Canadian changed name famed as sidekick,Jay Silverheels Tonto
40,40,Stephano and Trinculo characters in which Shakespeare play,The Tempest
40,41,William Hurt won best actor Oscar for which 1985 film,The Kiss of the Spiderwoman
40,44,Alex Raymond created which comic strip character in 1934,Flash Gorden
40,48,Pocahontas was baptised and given what English name,Rebecca
41,53,Margie Belcher provided the body movements - which character Disney,Snow White
41,56,Alain Boubil - Claude-Michael Schonberg music what hit show,Miss Saigon
41,78,"Name actor Von Ryan's Express, The Third Man, Brief Encounter",Trevor Howard
41,92,What was the first name of the cartoon character Mr Magoo,Quincy
41,99,Florinzel is a character in which Shakespeare play,The Winters Tale
42,4,In 1903 Frank Hanaway was US first what in The Great Train Robbery,Stuntman
42,27,"Sandra Bullock, Kris Christophensen, Bruce Willis - Job Links Not Acting –",Bartender
42,37,Pine Eyes is the literal translation of which characters name,Pinocchio
43,56,What was the name of Rip Van Winkles dog,Wolf
43,64,Who was the Queen of Sparta,Helen of Troy
43,66,What is known as Radishes in Denmark,Cartoon strip Peanuts
43,78,In Mork and Mindy what was the capitol of Ork,Kork
43,84,What was the first movie to have a sequel - 1933,King Kong - Son of Kong
43,85,Who made a TV advertisment for Southern Maid Doughnuts,Elvis Presley
43,95,Mr Cat Poop was the Chinese translation what Nicholson film,As Good as it Gets
44,15,In what book did we meet the Eoli and the Morlocks,The Time Machine – HG Wells
44,16,In what film - Charlie Chaplain have his first speaking part,1940 The Great Dictator – Adenoid Hinkel
44,20,In Call of the Wild by Jack London what was the dogs name,Buck
44,21,Charles Bingley was a character in what classic novel,Pride and Prejudice
44,28,What job would a Foley Artist do,Incidental movie sound effects
44,42,Edith Knight wrote which classic story (later filmed),Lassie come home
44,43,In what country does Disney's Beauty and the Beast take place,France
45,70,Paul Morel was a character in which classic novel,Sons and Lovers
45,72,What fictional archaeologist trained under Prof Abner Ravenwood,Indiana Jones
45,73,What singer did Elvis Presley say was the greatest in the world,Roy Orbison
45,74,To whom is the Wizard of Oz dedicated,The Young in Heart
45,76,What is the name of Alice's cat Disney Alice in Wonderland,Dinah
45,81,What was Barnaby Jones usual tipple,Milk
45,84,Who played Commodious in the Oscar winning Gladiator,Joaquin Phoenix
45,86,"What actress said ""I acted vulgar - Madonna is vulgar""",Marlene Dietrich
45,92,What instrument does Grumpy play in Disney's Snow White,Organ
45,93,Vienna is the setting for what Shakespeare play,Measure for Measure
45,98,Rawdon Crawley was a character in what classic novel,Vanity Fair
46,19,Who played The Talented Mr Ripley,Matt Damon
46,29,Gladys Mary Smith became famous under what name,Mary Pickford
46,33,Geococcyx Californicus is what (cartoon) animal,Road Runner
46,39,Which Shakespeare play has an English placename in its title,The merry wives of Windsor
46,42,Who wrote The Witches of Eastwick,John Updike
46,43,E H Shepherd illustrated which series of stories,Winnie the Pooh
47,76,Beverly Hillbillies Bank managers secretary - full name,Jane Hathaway
47,77,Nick Nolte played the Poor Man who played the Rich Man,Peter Strauss
47,78,The character Lieutenant Pinkerton appears in what work,Madam Butterfly
47,83,In wacky races what were the gang of criminals called,The Ant Hill Mob
47,85,Inspector Bucket appears in which Dickens novel,Bleak House
47,88,Who plays Data in Star Trek the Next Generation,Brent Spiner
47,92,Who created the cartoon character Droopy,Tex Avery
47,93,Who wrote The Prime of Miss Jean Brodie,Muriel Spark
48,2,Alphonso D'Abruzzo became famous as who,Alan Alda
48,4,Who is Warner Brothers oldest cartoon character,Porky Pig
48,15,Eight Arms To Hold You - working title - what movie,Beatles Help
48,19,What star once sold lingerie door to door,Burt Lancaster
48,21,David Robert Hayward-Jones became famous as who,David Bowie
48,25,What was Fonzies favourite magazine,Hot Rod
48,27,What was Bugs Bunnies original name,Happy Rabbit
48,28,Who was Ben Casey's boss,Dr Zorba
48,34,Lalo Schifrin composed which famous TV series theme,"Mission Impossible –
plus others"
48,38,What star had a job as aircraft factory inspector,Marilyn Munroe
48,44,Who was the wise cat in TS Eliot's book of cats,Old Deuteronomy
48,46,What actor did time on a Georgia Chain Gang - Escaped 6 days,"Robert Mitchum –
Vagrancy"
49,52,Leonard Sly became famous as who,Roy Rodgers
49,53,Perry Como the singer once worked as what,A Barber
49,62,What was the first USA TV series screened in the USSR,Fraggle Rock
49,70,Clark Gable had what job before acting,Telephone Repairman
49,72,"Who said ""Too much of a good thing is wonderful""",Mae West
49,77,What is Bart Simpson's middle name,JoJo
49,80,Mary Cathering Collins became famous as who,Bo Derek
49,82,Raquel Welch was once a what,Weathergirl
49,89,Who sang the theme song for The Love Boat,Jack Jones
49,98,Diane Belmont became famous as who,Lucille Ball
49,99,What star was once a vacuum cleaner salesman,Rock Hudson
50,2,What links Sergeant Joe Friday and Babe Ruth,714 - Fridays badge
50,5,In the film Gremlins what is the true name for Gizmos race,Mogwi
50,8,In Italian translation who is Mr Kiss Kiss Bang Bang,James Bond
50,22,What was the worlds first X rated cartoon,Fritz the cat
50,26,Mr Spocks blood was green - but what group,T - Negative
51,57,In what film was the first flushing toilet seen,Psycho
51,67,In what Hitchcock film does he NOT appear,Lifeboat
51,74,Humphry Bogart played Rick in Casablanca - Rick Who,Fleming
51,78,What cartoon character was born April 1st 1980,Bart Simpson
51,86,Who started life as Dippy Dawg,Goofy
51,91,Who was the first female monster to appear on film,Bride of Frankenstein
51,93,What is Homer Simpson's middle name,Jay
52,9,What actor links Von Ryan's Express - Magnificent Seven,Brad Dexter
52,16,Who wrote the novel SHE (both names),Rider Haggard
52,17,Ennio Morricone wrote the music for what film series Good bad ugly etc,Spaghetti westerns
52,22,Who are Mickey Mouse's nephews,Mortie and Ferdie
52,29,What TV character lived in Waratah National Park,Skippy
52,31,What was the name of the horse before Silver in lone ranger,Dusty
52,33,Armand Tarmizan is the 'real' name what cartoon character,Principle Skinner
52,36,Walt Disney had an obsessive compulsion with what,Cleanliness - washed hands every 5 min
52,37,What links Kelly Highway Block and Wales,Clint Eastwood character names
52,38,Who sang the theme song in From Russia with Love,Matt Munroe
52,43,What is Lieutenant Colombo's first name,Philip
53,54,Walt Disney in an interview admitted he was scared of what,Mice
53,60,In France it is illegal to sell what doll,ET - Dolls human faces only
53,64,A Woman to Remember was the worlds first what in Feb 1947,TV Soap Opera
53,66,What links Jack Loving Girls and Nurse,Carry on Films
53,85,In Animal Farm Benjamin was what type of creature,Donkey
53,97,What links Hong Kong Singapore Rio and Utopia,Road Films
53,99,What was Jimmy Stuarts middle name,Crane
54,1,What is the non obvious link Superman 1 and the Godfather,Mario Puzo write both stories
