Question #,Question Text,Answer
42,"Which film features a talking donkey voiced by Eddie Murphy?",Shrek
43,"Who played the iconic role of Vito Corleone in ""The Godfather""?",Marlon Brando
44,"Which TV show follows a group of friends living in New York City?",Friends
45,"What is the name of the alien species in the movie ""Alien""?",Xenomorph
46,"Which movie won the first-ever Academy Award for Best Picture?",Wings
47,"Who directed the horror classic ""The Shining""?",Stanley Kubrick
48,"Which actress played Mary Poppins in the 1964 film?",Julie Andrews
49,"What is the name of the superhero team assembled by Nick Fury in the Marvel Cinematic Universe?",The Avengers
50,"Which film's plot involves a dream heist?",Inception
1,"Who wrote and directed the 1994 film ""Pulp Fiction""?",Quentin Tarantino
2,"Which actor played the role of Harry Potter in the film series?",Daniel Radcliffe
3,"Which TV series is set in the fictional world of Westeros?",Game of Thrones
4,"Who composed the iconic theme music for the Star Wars saga?",John Williams
5,"Which movie won the Academy Award for Best Picture in 2020?",Parasite
6,"In what year was the first ""Toy Story"" movie released?",1995
7,"Who played the character of James Bond in the most films?",Roger Moore
8,"Which fictional city is the home of Batman?",Gotham City
9,"Who directed the epic science fiction film ""Avatar""?",James Cameron
10,"Which actress starred as Katniss Everdeen in ""The Hunger Games"" series?",Jennifer Lawrence
11,"What is the name of the fictional element that powers Iron Man's arc reactor?",Palladium
12,"Which TV show is known for its catchphrase ""Winter is Coming""?",Game of Thrones
13,"Who voiced the character of Woody in the ""Toy Story"" movies?",Tom Hanks
14,"Which director is known for his signature use of slow-motion and intricate plotlines, often featuring non-linear narratives?",Quentin Tarantino
15,"Which film won the first-ever Academy Award for Best Picture?",Wings
16,"Who played the role of Queen Elizabeth II in the TV series ""The Crown"" for its first two seasons?",Claire Foy
17,"Which fictional wizard lives at 4 Privet Drive?",Harry Potter
18,"Which movie features a blue alien race called the Na'vi?",Avatar
19,"Who wrote the novel ""The Lord of the Rings""?",J.R.R. Tolkien
20,"Which actor famously said ""Here's looking at you, kid"" in the movie ""Casablanca""?",Humphrey Bogart
21,"Which animated film features a character named Elsa who has ice powers?",Frozen
22,"Who is the creator of the ""Star Trek"" franchise?",Gene Roddenberry
23,"Which movie introduced the character of Neo, played by Keanu Reeves?",The Matrix
24,"What is the name of the fictional high school in ""Grease""?",Rydell High
25,"Which film is set in a dystopian future where people are divided into factions based on their personality traits?",Divergent
